	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
VARIABLES	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso
																												
lngdp_i	0.875***	1.077***	0.885***	0.644***	0.875***	1.077***	0.885***	0.644***	0.875***	1.077***	0.885***	0.644***	0.875***	1.077***	0.885***	0.644***	0.875***	1.077***	0.885***	0.644***	0.875***	1.077***	0.885***	0.644***	0.875***	1.077***	0.885***	0.644***
	(0.052)	(0.076)	(0.053)	(0.060)	(0.052)	(0.076)	(0.053)	(0.060)	(0.052)	(0.076)	(0.053)	(0.060)	(0.052)	(0.076)	(0.053)	(0.060)	(0.052)	(0.076)	(0.053)	(0.060)	(0.052)	(0.076)	(0.053)	(0.060)	(0.052)	(0.076)	(0.053)	(0.060)
lngdp_j	1.025***	1.077***	0.892***	1.290***	1.025***	1.077***	0.892***	1.290***	1.025***	1.077***	0.892***	1.290***	1.025***	1.077***	0.892***	1.290***	1.025***	1.077***	0.892***	1.290***	1.025***	1.077***	0.892***	1.290***	1.025***	1.077***	0.892***	1.290***
	(0.079)	(0.120)	(0.062)	(0.130)	(0.079)	(0.120)	(0.062)	(0.130)	(0.079)	(0.120)	(0.062)	(0.130)	(0.079)	(0.120)	(0.062)	(0.130)	(0.079)	(0.120)	(0.062)	(0.130)	(0.079)	(0.120)	(0.062)	(0.130)	(0.079)	(0.120)	(0.062)	(0.130)
ln_distw	-0.701***	-0.609***	-0.772***	-0.681***	-0.701***	-0.609***	-0.772***	-0.681***	-0.701***	-0.609***	-0.772***	-0.681***	-0.701***	-0.609***	-0.772***	-0.681***	-0.701***	-0.609***	-0.772***	-0.681***	-0.701***	-0.609***	-0.772***	-0.681***	-0.701***	-0.609***	-0.772***	-0.681***
	(0.053)	(0.084)	(0.056)	(0.071)	(0.053)	(0.084)	(0.056)	(0.071)	(0.053)	(0.084)	(0.056)	(0.071)	(0.053)	(0.084)	(0.056)	(0.071)	(0.053)	(0.084)	(0.056)	(0.071)	(0.053)	(0.084)	(0.056)	(0.071)	(0.053)	(0.084)	(0.056)	(0.071)
lnepu_i	-0.054	-0.022	-0.108	0.084	-0.054	-0.022	-0.108	0.084	-0.054	-0.022	-0.108	0.084	-0.054	-0.022	-0.108	0.084	-0.054	-0.022	-0.108	0.084	-0.054	-0.022	-0.108	0.084	-0.054	-0.022	-0.108	0.084
	(0.069)	(0.097)	(0.073)	(0.070)	(0.069)	(0.097)	(0.073)	(0.070)	(0.069)	(0.097)	(0.073)	(0.070)	(0.069)	(0.097)	(0.073)	(0.070)	(0.069)	(0.097)	(0.073)	(0.070)	(0.069)	(0.097)	(0.073)	(0.070)	(0.069)	(0.097)	(0.073)	(0.070)
lnepu_i_l2	-0.093	-0.402***	0.062	-0.197***	-0.093	-0.402***	0.062	-0.197***	-0.093	-0.402***	0.062	-0.197***	-0.093	-0.402***	0.062	-0.197***	-0.093	-0.402***	0.062	-0.197***	-0.093	-0.402***	0.062	-0.197***	-0.093	-0.402***	0.062	-0.197***
	(0.059)	(0.086)	(0.073)	(0.060)	(0.059)	(0.086)	(0.073)	(0.060)	(0.059)	(0.086)	(0.073)	(0.060)	(0.059)	(0.086)	(0.073)	(0.060)	(0.059)	(0.086)	(0.073)	(0.060)	(0.059)	(0.086)	(0.073)	(0.060)	(0.059)	(0.086)	(0.073)	(0.060)
lnepu_i_l4	-0.202***	-0.320***	-0.190***	-0.124	-0.202***	-0.320***	-0.190***	-0.124	-0.202***	-0.320***	-0.190***	-0.124	-0.202***	-0.320***	-0.190***	-0.124	-0.202***	-0.320***	-0.190***	-0.124	-0.202***	-0.320***	-0.190***	-0.124	-0.202***	-0.320***	-0.190***	-0.124
	(0.061)	(0.094)	(0.069)	(0.090)	(0.061)	(0.094)	(0.069)	(0.090)	(0.061)	(0.094)	(0.069)	(0.090)	(0.061)	(0.094)	(0.069)	(0.090)	(0.061)	(0.094)	(0.069)	(0.090)	(0.061)	(0.094)	(0.069)	(0.090)	(0.061)	(0.094)	(0.069)	(0.090)
lnepu_j	-0.110	-0.108	-0.105	-0.134	-0.110	-0.108	-0.105	-0.134	-0.110	-0.108	-0.105	-0.134	-0.110	-0.108	-0.105	-0.134	-0.110	-0.108	-0.105	-0.134	-0.110	-0.108	-0.105	-0.134	-0.110	-0.108	-0.105	-0.134
	(0.086)	(0.132)	(0.079)	(0.100)	(0.086)	(0.132)	(0.079)	(0.100)	(0.086)	(0.132)	(0.079)	(0.100)	(0.086)	(0.132)	(0.079)	(0.100)	(0.086)	(0.132)	(0.079)	(0.100)	(0.086)	(0.132)	(0.079)	(0.100)	(0.086)	(0.132)	(0.079)	(0.100)
lnepu_j_l2	-0.126**	-0.011	-0.205***	0.029	-0.126**	-0.011	-0.205***	0.029	-0.126**	-0.011	-0.205***	0.029	-0.126**	-0.011	-0.205***	0.029	-0.126**	-0.011	-0.205***	0.029	-0.126**	-0.011	-0.205***	0.029	-0.126**	-0.011	-0.205***	0.029
	(0.058)	(0.101)	(0.060)	(0.070)	(0.058)	(0.101)	(0.060)	(0.070)	(0.058)	(0.101)	(0.060)	(0.070)	(0.058)	(0.101)	(0.060)	(0.070)	(0.058)	(0.101)	(0.060)	(0.070)	(0.058)	(0.101)	(0.060)	(0.070)	(0.058)	(0.101)	(0.060)	(0.070)
lnepu_j_l4	-0.020	0.010	-0.037	-0.028	-0.020	0.010	-0.037	-0.028	-0.020	0.010	-0.037	-0.028	-0.020	0.010	-0.037	-0.028	-0.020	0.010	-0.037	-0.028	-0.020	0.010	-0.037	-0.028	-0.020	0.010	-0.037	-0.028
	(0.059)	(0.092)	(0.058)	(0.095)	(0.059)	(0.092)	(0.058)	(0.095)	(0.059)	(0.092)	(0.058)	(0.095)	(0.059)	(0.092)	(0.058)	(0.095)	(0.059)	(0.092)	(0.058)	(0.095)	(0.059)	(0.092)	(0.058)	(0.095)	(0.059)	(0.092)	(0.058)	(0.095)
rta	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**
	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)
lnpop_i	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***
